[2026-03-22 18:45:58,536] 16 root - INFO - Initiate the data ingestion
[2026-03-22 18:46:34,906] 66 root - INFO - Performed train test split on the dataframe
[2026-03-22 18:46:34,906] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-03-22 18:46:34,910] 76 root - INFO - Exporting train and test file path.
[2026-03-22 18:46:35,186] 85 root - INFO - Exported train and test file path.
[2026-03-22 18:46:35,186] 18 root - INFO - Data Initiation Completed
[2026-03-22 18:46:35,236] 22 root - INFO - Initiate data validate
[2026-03-22 18:46:35,433] 32 root - INFO - Required number of columns:2
[2026-03-22 18:46:35,434] 33 root - INFO - Data frame has columns:31
[2026-03-22 18:46:35,434] 32 root - INFO - Required number of columns:2
[2026-03-22 18:46:35,434] 33 root - INFO - Data frame has columns:31
[2026-03-22 18:46:36,053] 24 root - INFO - Data validation completed.
[2026-03-22 18:46:36,054] 27 root - INFO - data Transformation started
[2026-03-22 18:46:36,054] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-03-22 18:46:36,054] 65 root - INFO - Starting data transformation
[2026-03-22 18:46:36,165] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-03-22 18:46:36,165] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-03-22 18:46:36,208] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-03-22 18:46:36,221] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-03-22 18:46:36,221] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-03-22 18:46:36,234] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-03-22 18:46:36,236] 31 root - INFO - data Transformation completed
